Region,Baltimore Ravens
Maryland,100
Delaware,29
West Virginia,17
District of Columbia,16
Virginia,15
Pennsylvania,15
South Carolina,12
Ohio,12
Mississippi,12
Kentucky,11
North Carolina,10
Georgia,8
Louisiana,8
Florida,8
Tennessee,8
Kansas,7
Alabama,7
Arkansas,7
Iowa,7
Hawaii,7
Missouri,7
New Jersey,6
Michigan,6
New Mexico,6
Wyoming,6
Indiana,6
Nevada,6
Texas,6
Rhode Island,6
Arizona,6
Oklahoma,6
Connecticut,5
Nebraska,5
Colorado,5
Wisconsin,5
South Dakota,5
Minnesota,5
Idaho,5
Massachusetts,5
New York,5
Illinois,5
North Dakota,5
Montana,5
Alaska,4
New Hampshire,4
Utah,4
Maine,4
Washington,4
Vermont,4
California,3
Oregon,3