Region,Chicago Deep Dish pizza
Illinois,100
Wisconsin,24
Indiana,21
Iowa,20
Nebraska,19
District of Columbia,18
Missouri,17
Ohio,16
Nevada,16
Tennessee,16
Minnesota,15
Michigan,15
Florida,15
Texas,15
Kansas,15
Kentucky,13
Alaska,13
Maryland,13
Oklahoma,13
Washington,13
Colorado,13
South Carolina,13
New York,13
California,13
Virginia,13
Pennsylvania,12
North Carolina,12
Georgia,12
Arizona,12
South Dakota,12
West Virginia,11
Connecticut,11
Delaware,11
Hawaii,11
Massachusetts,11
North Dakota,11
Oregon,11
Utah,11
Mississippi,11
New Mexico,11
Alabama,11
New Jersey,11
Idaho,11
Arkansas,10
Louisiana,10
Maine,10
Vermont,10
New Hampshire,10
Montana,9
Rhode Island,8
Wyoming,8