Region,Disney World
Florida,100
Alabama,46
Louisiana,45
Mississippi,40
Rhode Island,38
Delaware,38
Kentucky,38
Tennessee,37
Pennsylvania,37
South Carolina,37
New Hampshire,36
New Jersey,35
Georgia,35
North Carolina,34
Indiana,33
Massachusetts,33
West Virginia,33
Ohio,31
Illinois,31
Connecticut,31
Wisconsin,30
Michigan,29
Maryland,29
Arkansas,29
Missouri,26
Virginia,26
Utah,26
Maine,26
Oklahoma,25
New York,25
Nebraska,25
Texas,25
Iowa,23
Minnesota,23
North Dakota,23
Kansas,23
Colorado,22
Vermont,21
South Dakota,21
Wyoming,19
Nevada,18
Hawaii,18
New Mexico,18
Idaho,18
Alaska,18
Arizona,18
Washington,17
District of Columbia,16
Montana,15
California,15
Oregon,14