Region,Flint water crisis
Michigan,100
Vermont,35
District of Columbia,33
Rhode Island,26
Maryland,25
Connecticut,23
Indiana,20
Virginia,20
Iowa,20
Massachusetts,20
North Carolina,19
Wisconsin,19
Minnesota,19
Ohio,17
Delaware,17
Georgia,17
New Hampshire,17
Illinois,17
Oregon,17
Kentucky,16
New Jersey,16
Kansas,16
South Dakota,16
Pennsylvania,16
Nebraska,16
West Virginia,16
Washington,14
Maine,14
Arkansas,14
Arizona,14
New York,14
Missouri,14
Mississippi,14
California,14
Colorado,14
Tennessee,14
South Carolina,14
Alabama,13
Hawaii,13
Nevada,13
Wyoming,13
Alaska,13
Utah,13
Oklahoma,11
Louisiana,11
Florida,11
New Mexico,11
Texas,11
Idaho,10
North Dakota,10
Montana,7