Region,Hawaiian Luau
Hawaii,100
California,5
Nevada,4
South Carolina,4
Utah,4
Oregon,4
Arizona,4
Georgia,4
Idaho,4
Washington,3
Alaska,3
Alabama,3
Montana,3
New Hampshire,3
Missouri,3
Florida,3
Delaware,3
Louisiana,3
Colorado,2
Tennessee,2
Oklahoma,2
Rhode Island,2
North Carolina,2
Kansas,2
Ohio,2
New Jersey,2
Nebraska,2
Pennsylvania,2
Mississippi,2
Connecticut,2
Illinois,2
Iowa,2
Texas,2
Wyoming,2
Wisconsin,2
Massachusetts,2
Kentucky,2
Indiana,2
Minnesota,2
New Mexico,2
Michigan,2
Virginia,2
Maine,2
South Dakota,2
Arkansas,2
Maryland,2
District of Columbia,2
New York,2
West Virginia,2
Vermont,2
North Dakota,2