Region,Iditarod race
Alaska,100
Montana,10
South Dakota,8
North Dakota,7
Idaho,7
Wyoming,6
Minnesota,6
Iowa,5
Wisconsin,5
Washington,5
New Hampshire,5
Vermont,5
West Virginia,5
Utah,5
Maine,5
Indiana,4
Kansas,3
Oregon,3
Ohio,3
Michigan,3
Nebraska,3
Missouri,3
Oklahoma,3
Colorado,3
Nevada,2
Illinois,2
Pennsylvania,2
Arizona,2
Rhode Island,2
Delaware,2
Kentucky,2
New Mexico,2
Massachusetts,2
Arkansas,2
North Carolina,1
Hawaii,1
Connecticut,1
Virginia,1
Tennessee,1
Maryland,1
South Carolina,1
Georgia,1
Alabama,1
Mississippi,1
New Jersey,1
Louisiana,1
Florida,1
California,1
Texas,1
New York,1
District of Columbia,1