Region,Indianapolis 500
Indiana,100
Ohio,9
Illinois,8
Iowa,7
Kentucky,7
Wisconsin,6
Michigan,6
Missouri,5
Nebraska,5
Kansas,5
South Dakota,5
Idaho,5
Colorado,4
Arizona,4
Wyoming,4
South Carolina,4
Pennsylvania,4
Tennessee,4
Minnesota,4
Florida,4
Montana,4
Oklahoma,4
West Virginia,4
New Mexico,4
Nevada,4
North Dakota,4
Delaware,3
New Hampshire,3
North Carolina,3
Oregon,3
Connecticut,3
Vermont,3
Maine,3
Virginia,3
Arkansas,3
Alabama,3
Washington,3
California,3
Georgia,3
Maryland,3
Rhode Island,3
Texas,2
New Jersey,2
District of Columbia,2
Mississippi,2
Utah,2
Massachusetts,2
Hawaii,2
Alaska,2
Louisiana,2
New York,2