Region,Iowa state fair
Iowa,100
Nebraska,11
South Dakota,2
Minnesota,2
Missouri,1
Kansas,1
Illinois,1
Wisconsin,0
North Dakota,0
Wyoming,0
Colorado,0
District of Columbia,0
Montana,0
Oklahoma,0
Arkansas,0
Arizona,0
Indiana,0
Alaska,0
Tennessee,0
Nevada,0
Michigan,0
Idaho,0
Utah,0
New Mexico,0
Kentucky,0
Virginia,0
South Carolina,0
West Virginia,0
Oregon,0
Maine,0
Vermont,0
Ohio,0
North Carolina,0
New Hampshire,0
Delaware,0
Maryland,0
Florida,0
Alabama,0
Washington,0
Texas,0
Pennsylvania,0
Connecticut,0
Hawaii,0
Massachusetts,0
Mississippi,0
Georgia,0
Rhode Island,0
Louisiana,0
New York,0
New Jersey,0
California,0