Region,Kansas Tornadoes
Kansas,100
Missouri,16
Wyoming,10
Nebraska,8
Colorado,7
Oklahoma,7
South Dakota,7
Idaho,6
Utah,5
Vermont,5
Arkansas,5
Iowa,5
Arizona,3
Nevada,3
New Mexico,3
Montana,3
Maine,3
Oregon,2
Indiana,2
Minnesota,2
West Virginia,2
Washington,2
Wisconsin,2
New Hampshire,2
Kentucky,2
Tennessee,2
California,2
Michigan,2
Illinois,2
Alabama,2
Texas,2
North Carolina,1
Ohio,1
Georgia,1
Virginia,1
Connecticut,1
South Carolina,1
Louisiana,1
Pennsylvania,1
Florida,1
Maryland,1
Massachusetts,1
Mississippi,1
New York,1
New Jersey,1
Rhode Island,0
North Dakota,0
Hawaii,0
Delaware,0
District of Columbia,0
Alaska,0