Region,Los Angeles Angels
California,100
Hawaii,47
Nevada,43
Arizona,26
Utah,22
Idaho,19
Washington,16
Oregon,15
Montana,14
New Mexico,14
Illinois,13
New Jersey,12
Texas,12
Colorado,12
Iowa,11
Massachusetts,11
New York,11
Maryland,11
Pennsylvania,11
Indiana,11
Kansas,10
Connecticut,10
South Dakota,10
Missouri,10
Delaware,10
Wyoming,10
Nebraska,10
Ohio,9
Tennessee,9
Louisiana,9
Wisconsin,9
Florida,9
Minnesota,9
District of Columbia,9
Alaska,9
Arkansas,8
Rhode Island,8
New Hampshire,8
Michigan,8
Georgia,8
Alabama,8
Mississippi,8
Virginia,8
North Dakota,8
Oklahoma,8
North Carolina,8
South Carolina,7
Kentucky,7
Maine,7
Vermont,7
West Virginia,6