Region,Mississippi River
Mississippi,100
Louisiana,80
Iowa,77
Minnesota,58
Wisconsin,42
Missouri,39
Arkansas,38
Tennessee,28
Illinois,24
Oklahoma,16
Alabama,16
Kentucky,15
South Dakota,15
Nebraska,15
North Dakota,14
Indiana,14
Texas,13
Georgia,13
Kansas,13
South Carolina,12
Wyoming,11
North Carolina,11
Montana,10
West Virginia,10
Alaska,10
Virginia,10
Michigan,10
Colorado,10
Utah,9
Ohio,9
Arizona,9
Pennsylvania,9
Florida,9
Idaho,8
New Mexico,8
Delaware,8
Vermont,8
Washington,8
Nevada,8
Maine,7
New Hampshire,7
District of Columbia,7
California,7
Maryland,7
Oregon,7
New Jersey,7
Connecticut,6
Rhode Island,6
Massachusetts,6
New York,6
Hawaii,5