Region,new hampshire primaries
New Hampshire,100
District of Columbia,16
Maine,11
Massachusetts,11
Iowa,11
Missouri,5
Nebraska,5
Washington,5
Michigan,5
Maryland,5
Virginia,5
Idaho,5
Connecticut,5
Oklahoma,5
Nevada,5
Pennsylvania,5
Florida,5
Utah,5
Tennessee,5
South Carolina,5
North Carolina,5
Illinois,5
Oregon,5
Colorado,5
New Jersey,5
New York,5
California,5
Minnesota,5
Ohio,5
Indiana,5
Kansas,5
Arizona,5
Arkansas,5
Georgia,5
Texas,5
Mississippi,0
Alabama,0
Louisiana,0
Wisconsin,0
Kentucky,0
Alaska,0
South Dakota,0
Rhode Island,0
New Mexico,0
North Dakota,0
Montana,0
Vermont,0
Hawaii,0
Delaware,0
West Virginia,0
Wyoming,0