Region,Newport mansions
Rhode Island,100
Massachusetts,15
Connecticut,13
New Hampshire,8
Maine,4
Vermont,2
New Jersey,2
New York,1
Delaware,1
District of Columbia,1
Pennsylvania,1
Maryland,0
Virginia,0
North Carolina,0
Tennessee,0
West Virginia,0
Florida,0
Ohio,0
Kentucky,0
Alaska,0
South Carolina,0
Minnesota,0
Michigan,0
Oregon,0
Utah,0
Missouri,0
Colorado,0
Illinois,0
Indiana,0
Wisconsin,0
Oklahoma,0
Washington,0
California,0
Georgia,0
Arizona,0
Arkansas,0
Idaho,0
Alabama,0
Texas,0
Montana,0
Kansas,0
Iowa,0
Mississippi,0
Nevada,0
Louisiana,0
New Mexico,0
Hawaii,0
Nebraska,0
South Dakota,0
North Dakota,0
Wyoming,0