Region,Oregon Ducks
Oregon,100
Washington,12
Idaho,10
Montana,6
Alaska,5
Hawaii,5
Wyoming,3
Nevada,3
Arizona,3
Utah,3
California,2
South Dakota,2
Nebraska,2
North Dakota,1
Colorado,1
New Mexico,1
Tennessee,1
Iowa,1
Alabama,1
Ohio,1
Texas,1
South Carolina,1
Oklahoma,1
Georgia,1
Delaware,1
Mississippi,1
Kansas,1
Wisconsin,0
Missouri,0
Minnesota,0
Arkansas,0
Indiana,0
District of Columbia,0
Michigan,0
Louisiana,0
Illinois,0
North Carolina,0
Florida,0
Pennsylvania,0
Virginia,0
West Virginia,0
Rhode Island,0
Kentucky,0
Vermont,0
Maryland,0
Connecticut,0
New Hampshire,0
New York,0
Maine,0
New Jersey,0
Massachusetts,0