Region,Seattle Coffee
Washington,100
Alaska,8
Oregon,7
Montana,5
Hawaii,5
Idaho,4
California,3
District of Columbia,3
Colorado,2
New Mexico,2
Arizona,2
Wyoming,2
Utah,2
Nevada,2
North Dakota,2
Minnesota,2
Vermont,2
Massachusetts,1
Missouri,1
Kansas,1
New York,1
Illinois,1
Nebraska,1
Wisconsin,1
Maine,1
Virginia,1
New Hampshire,1
Texas,1
South Dakota,1
Rhode Island,1
Connecticut,1
Oklahoma,1
Iowa,1
Michigan,1
Pennsylvania,1
Maryland,1
New Jersey,1
North Carolina,1
Georgia,1
Tennessee,1
South Carolina,1
Delaware,1
Kentucky,1
Ohio,1
Indiana,1
Florida,1
Louisiana,1
Alabama,1
Arkansas,1
West Virginia,0
Mississippi,0