Region,St louis arch
Missouri,100
Illinois,19
Iowa,12
Kansas,12
Indiana,11
Arkansas,10
Kentucky,9
Wisconsin,8
Nebraska,7
Tennessee,7
South Dakota,6
Oklahoma,6
Mississippi,4
Ohio,4
Minnesota,4
Colorado,4
Wyoming,3
North Dakota,3
West Virginia,3
Michigan,3
Alabama,3
New Mexico,3
Utah,3
Montana,2
Louisiana,2
District of Columbia,2
Idaho,2
Georgia,2
South Carolina,2
Arizona,2
Pennsylvania,2
Delaware,2
Texas,2
Nevada,2
Virginia,2
North Carolina,2
Florida,2
Washington,2
New Hampshire,2
Alaska,2
Maryland,2
Maine,2
Connecticut,1
Vermont,1
New Jersey,1
Oregon,1
Rhode Island,1
Massachusetts,1
New York,1
California,1
Hawaii,1