Region,vikings
Minnesota,100
North Dakota,63
South Dakota,55
Iowa,23
Wisconsin,17
Montana,12
Nebraska,10
Wyoming,9
Alaska,8
Arizona,7
Idaho,6
New Mexico,6
Michigan,5
Colorado,5
Nevada,5
Kansas,5
Illinois,5
Delaware,5
Hawaii,5
Utah,4
West Virginia,4
Missouri,4
Indiana,4
Pennsylvania,4
Washington,4
Ohio,4
Florida,4
Connecticut,4
Virginia,4
Tennessee,4
Oklahoma,4
Mississippi,4
Maryland,4
South Carolina,4
Oregon,4
Kentucky,4
Maine,4
Louisiana,3
New Hampshire,3
New Jersey,3
Vermont,3
Arkansas,3
Texas,3
North Carolina,3
Rhode Island,3
District of Columbia,3
California,3
Massachusetts,3
Georgia,3
New York,3
Alabama,2