Region,Yale University
Connecticut,100
District of Columbia,19
Massachusetts,18
Rhode Island,16
New York,14
New Jersey,13
Maryland,12
Vermont,12
Delaware,9
Virginia,9
New Hampshire,9
California,8
Maine,8
Illinois,8
Pennsylvania,8
Georgia,8
Texas,7
Hawaii,7
North Carolina,7
Minnesota,7
Washington,7
Florida,7
Colorado,7
Ohio,7
Indiana,6
Tennessee,6
Michigan,6
South Carolina,6
Missouri,6
New Mexico,6
Alabama,6
Arizona,5
Wisconsin,5
Utah,5
Wyoming,5
West Virginia,5
Nebraska,5
Idaho,5
Alaska,5
Oregon,5
Kentucky,5
Mississippi,5
Arkansas,5
North Dakota,5
Oklahoma,5
Iowa,5
Kansas,5
Nevada,5
Louisiana,5
South Dakota,5
Montana,4