Region,Yellowstone
Montana,100
Wyoming,72
Idaho,29
Utah,17
South Dakota,17
North Dakota,16
Colorado,14
Oklahoma,13
Nebraska,12
Arkansas,12
Kansas,12
West Virginia,12
Iowa,12
Missouri,11
Kentucky,11
Minnesota,11
New Mexico,11
Washington,10
Mississippi,10
Alabama,10
Tennessee,10
Maine,10
Wisconsin,10
Arizona,9
Vermont,9
Indiana,9
New Hampshire,9
Oregon,9
Ohio,9
Louisiana,9
Alaska,9
Texas,9
South Carolina,9
North Carolina,8
Michigan,8
Nevada,8
Georgia,8
Illinois,7
Pennsylvania,7
Delaware,7
Virginia,7
Rhode Island,7
Florida,7
Connecticut,7
Massachusetts,6
California,6
Maryland,6
Hawaii,5
New Jersey,5
New York,5
District of Columbia,4